	plus_min	del_min	plus_del
YBR040W	2.9005869837211	3.77655761806487	-4.34287619737569
YJL088W	2.01768595669071	4.3476461553786	-3.9871668787085
YIL073C	-1.34838224833572	-5.2860928883791	5.29764916719941
YPL081W	3.94918761481605	4.65746937668265	-3.65882636664415
YIL108W	-1.26148285396112	3.72335072199411	-3.86655013028603
YBR284W	-1.73411511087044	5.45753498392885	-3.67160232629569
YBR107C	-1.26879974787423	3.16352226609921	4.92949061264431
YBR163W	-1.31979040465021	-3.10932023952413	-5.52514042285038
YBR008C	-2.34256028522415	2.65042923077729	-3.40932929306643
YML047C	2.01719227022082	5.63762168833004	-2.54282295383664
YOR071C	1.41529642729813	4.48693467923118	-3.08279320012792
YIL125W	-1.24479980850821	2.96116635781442	-3.06818514056471
YIL024C	-1.02601069773734	-4.25528364333473	-3.56329199433122
YBR056W	-0.928805579441425	5.43467603422313	-3.77679689028341
YBR006W	-1.12254141254889	-2.42814447130909	-3.70090030371868
YDR461W	2.28731140993269	-1.99004647674768	-2.52578825571732
YBR071W	-1.25634390250428	-1.95624245766611	2.74323675073509
YJR148W	1.5255822714553	-2.9426714719318	-3.20196334344093
YBL043W	-2.17939302302376	3.46761107527824	-3.6749516949751
YBR170C	-1.39373807353478	3.76704348281601	-3.03735572833766
YBL030C	-1.23603068651226	3.10044882826833	1.97588450783303
YPL092W	1.15730274802488	-2.85948695460855	2.30262431257762
YIR039C	-1.52192931971342	-2.33764541486145	3.42449767056464
YBL049W	-1.33972269255563	2.47257630749282	3.08270476836953
YBR235W	-1.07009105472482	2.65118553954682	3.13226662000093
YBR052C	-0.894245618009126	2.01640737711192	-4.05979173720279
YIL030C	-1.0989312682601	3.71884733159201	-3.61576738905469
YBL058W	-1.17507619219116	1.91288834199238	-2.82188107995388
YIL140W	-1.36052200445127	-2.21374060991405	2.92940037829371
YKL071W	-2.93090196481033	3.49742283817266	3.68056829549738
YBL048W	-1.50936198437474	-2.42691904401543	-5.01724959911696
YIR001C	-1.13468632569503	-1.65874157701698	1.99657011110575
YBL078C	-1.32548162379566	-2.66637890674911	2.63637560418576
YBR204C	-0.920475340347308	-1.69002039842383	-3.73108964332792
YBR036C	-1.00161661727746	3.72812520178664	-2.62058193559725
YBR039W	-1.19145098681084	-3.12262690129874	2.05281530136523
YBR038W	-1.08809163951763	-2.21311805033991	-1.99121263248306
YBR231C	-1.36509728959801	2.59895454217642	2.00934523975421
YCL030C	0.834750008276986	-1.99190372732041	-3.5190166203294
YBL107C	-1.28482780339931	2.89932275977502	-3.65375349117468
YBR003W	-0.974821077556646	2.07049961660847	-3.0955942787747
YBL015W	-1.541631697033	-2.11114300803448	-2.31752878959314
YLR304C	-0.889139701746298	-1.92699844657035	-5.30979914372078
YBR241C	-1.10822789024116	2.26961513065478	-3.43287143398264
YIL142W	-1.00839322835729	2.76929958613978	2.80703793325073
YIL042C	-0.95066837448348	4.32570246335831	-1.88544038724297
YBR280C	-1.25378207210961	-1.77623502029728	3.38849063006478
YCL027W	2.57174247813612	-2.44062421513702	3.32263307783628
YGL117W	1.57097222902924	-2.38785615524556	-1.63665402291183
YBR287W	-1.15675871443266	1.91750801013114	2.97434824182592
YDL241W	1.44362587750919	2.14409255886932	-2.39695964910477
YJR109C	1.38700802314841	4.46927796303547	-4.35655580659707
YHL040C	2.50036616510129	-2.66562778037926	1.9544212884397
YBR119W	-0.945367386760333	-1.67496638793732	2.0978160460927
YKR076W	-1.02739544971636	-2.59148323277831	2.31251328161537
YER028C	-1.36194047849055	-2.38756079262905	-2.94740884332177
YGL186C	0.908604197397514	2.16174601103495	1.80440584393162
YBR146W	-0.918214167912054	-1.6102250656551	-2.66276424216477
YIL065C	-1.24492701906825	-2.86310487745374	1.84469544965502
YJL170C	1.66581989697913	-2.89054507539824	-1.47474191927363
YIL093C	-0.959458963882146	-1.60532956905292	-5.10516587538099
YMR058W	2.5961760881131	1.30638463314073	-2.73306004189336
YBR276C	-0.880906245386472	3.72472732936576	-1.8469685635757
YBR026C	-0.730525437075542	-1.73684063795301	1.76394231521046
YNL279W	1.81741619091257	1.3296892287377	1.51930503199986
YCL021W-A	1.64319050607593	3.06003766774293	1.75732456545541
YKL070W	-1.28907577771701	-1.32619542313338	-4.49097589009763
YDL042C	0.872784912190347	3.00235869876034	2.3935150302862
YLL039C	-1.04736941163518	1.73273880085965	2.48490210128791
YBR125C	-1.00777499704858	2.90091519517785	-2.55705378737844
YOR382W	4.03619338555182	1.50634132942534	2.8671259584544
YLR031W	-1.1526633345218	1.37179903688935	1.80644961406346
YBL037W	-1.03005103372434	-1.450742885879	1.57178739697887
YBL080C	-0.899186834589187	1.8827031796658	-2.23866804561126
YHR018C	1.2800987928502	1.53544464053913	-3.79047251152645
YBR043C	-0.850100353493424	1.8468935731353	-4.56955611377266
YBR117C	-0.771669432551625	2.7812840762086	2.00244864372457
YBR053C	-1.04104092645259	2.20735726568602	2.46299822689292
YBR054W	-1.32501132208618	-1.44332495159549	2.09575483448434
YIL011W	1.32650611146326	2.88527649756975	-2.89353714859426
YBL099W	-0.981796760382626	-2.36009506436717	-3.47175821549571
YDR384C	1.40276731420051	2.82745481797734	2.43264732939666
YBR116C	-0.578413754008817	-1.55950712008783	-3.8148509606443
YMR006C	1.16551779872465	-2.07655838145558	-2.40176317825256
YBR001C	-1.12398103135559	1.69227688909319	-2.70617843815987
YBL064C	-1.82935602293374	3.67289392743361	1.49210998004819
YGL032C	1.56242774981364	4.16578891298529	-3.19058024107015
YIL067C	-0.909840060730557	-3.79425487428487	-1.37219369862658
YBL045C	-1.17091949416106	4.0449473156388	-1.83921773572854
YIL128W	-0.83560596191094	1.38563285107909	2.0349308780743
YER069W	0.899406542995491	-2.19137959868448	-3.15209795076233
YPR012W	-0.894000216483921	1.87557610987817	-1.9865109173067
YER175C	1.20379498129918	1.63753705065792	-2.15301704517294
YBR041W	-1.11715055273234	-1.53890544948341	-4.5582497425033
YEL065W	2.72128728945776	-1.64629852882704	3.41644264938319
YBR105C	-0.919924961240148	-2.12632453476494	-2.22583945588185
YIL141W	-0.997855197679794	-1.71310342735683	2.22314121007921
YBR158W	-0.872137127205585	-1.65375489859096	-1.67046591261642
YBR002C	-0.984265479402884	2.43708775721242	2.01771823091079
YIL034C	-0.857919712402521	-3.04118565913835	-1.7350528150243
YER037W	-1.32314186084335	1.31991955067032	1.5357463723032
YBR132C	-0.878564289941921	-1.34139445117957	-1.80346561567476
YBR183W	-0.99973010219682	2.34556455120843	-1.77213336800902
YBL023C	-1.05783346755786	-1.78434642014198	3.365677826361
YIL109C	-1.03759189260613	2.03520320213254	1.86855461852365
YBR202W	-0.812329235220208	2.07716983787218	3.93246888767917
YBR221C	-0.960573200406761	-1.32724280058553	3.08660340512346
YBR139W	-0.873108816050478	-1.27116313865215	2.39335647434668
YMR215W	0.745887627529617	-1.38442983721306	-3.60727885016611
YBR024W	-0.792868322536891	-1.46401854660353	-1.84753354034363
YOR381W	2.61379873794352	5.14932879898862	-3.78437930031552
YBR130C	-0.820801028310434	-1.32102025701875	-3.8223438968664
YBR044C	-0.901083004027226	1.86449977395964	2.05478659337436
YIL010W	-0.941745691753679	-1.3645225608861	1.94118440909326
YIL048W	-0.871305078161048	2.22511557764109	-1.75100463989768
YIR038C	-1.04724130423976	-2.68342147945987	-2.1475320484582
YBR058C	-0.869357372436146	-1.64726726651795	1.75040304360243
YBL019W	-0.822329423528246	-2.08038804307591	1.57647693703357
YBR230C	-1.33191039093407	1.91652354626532	-1.60277023380393
YPR002W	-1.70795864462479	-1.24037991136366	-1.68790414223286
YBR233W	-0.968928191454067	1.61735810901076	2.69498134366151
YIL007C	-0.952556487284308	3.19482957805585	-1.83536718607652
YBR216C	-0.920032681254018	-3.08540872557354	2.31798089441662
YIL029C	-0.737529549804054	3.31521971118137	-1.96921582514166
YIR031C	-0.837538879531294	-2.38524365638756	-1.90561148355206
YIL121W	0.787360513439497	1.55314411079327	-1.79834170054194
YBL069W	-1.26473603619431	-1.84479767890808	-1.86421947218874
YIL106W	-0.684363641850772	3.48657035872437	3.34217409040003
YBR169C	-0.842363211575726	-1.3130263875489	2.37692507002799
YBR161W	-0.896460515639909	-2.1221716138853	1.91747646390719
YGL255W	1.70292985793119	-1.35396247334683	2.30160209918255
YLR136C	2.10186076583785	-2.66806450764044	-2.56587146769956
YKL161C	-0.535745404112791	-1.64843951674642	-3.51722205590707
YBL041W	-1.07815775230503	2.00980362084374	1.72161427270045
YBL104C	-0.881446429645071	-1.27156005033068	1.98264515880628
YIL037C	1.42940039127419	-1.65640284315476	1.94868623316433
YOL101C	-1.009251297308	3.16272047064666	-1.85700220196182
YBR200W	-0.848404732100442	2.3205734299079	1.5354155766497
YBL038W	-0.913471140802911	1.64024495098508	1.62111613794772
YDL243C	-0.938294070182903	-1.89860543444208	3.76639166544522
YBL010C	-0.854714373063611	-1.50484038544063	-1.87812016860895
YML131W	-1.98285485553716	-1.59839128832736	3.32938085364474
YBR274W	-0.803867109958087	1.44935448077484	-1.69676172641125
YLL053C	1.33975640356048	-2.77475974866383	-2.62319225338467
YIL035C	-0.687716567399168	-1.52236452001749	1.32120620021044
YBR078W	-0.930788380530361	1.49930961553849	-2.04780923609152
YIR024C	-0.809096006206982	1.91561394031591	2.31722999917887
YBR199W	-0.716861541612392	-3.27433567448132	-2.10034431794312
YNL237W	-0.906798586128805	1.26438283908864	-1.84068880674362
YBL050W	-0.759831743641365	2.10122035051218	1.82668921905488
YBR251W	-0.755384074230688	3.74701165308912	2.60069058849924
YIL046W	-0.964485300154244	-1.56557556558938	1.58428114025981
YBR080C	-0.869692999235161	-1.95482923876834	1.94504974249477
YBL021C	-0.821396094598994	-1.73440198431575	-2.05841562686386
YBR021W	-1.09673286795268	-2.76300610273986	1.8485644271222
YBR094W	-0.698312931637827	-2.77667962048319	1.65688105232154
YIR033W	-1.29984431554917	-2.00049427587796	3.04052901289164
YIL086C	-1.00525547250749	1.24445328326408	1.70627640400421
YIL014W	-0.732880148687315	2.25871498641872	1.66726855955763
YLR040C	1.05057210309194	2.58880026786043	1.96207518812631
YIL026C	-0.857266296343609	-1.65043452294037	-2.0825786086642
YBR160W	-1.11124466222124	3.98295890522671	-1.43372997860664
YCR106W	1.02321793885222	2.16656037971369	-1.66566001867586
YIL146C	-1.24545558976844	1.40652688239295	1.87779482747242
YOR130C	0.895973533386364	-1.55765791785054	-2.09826255121047
YIL153W	-0.908514384902406	-1.89107176685134	1.80119834650779
YBL008W	-0.858233409825266	2.45202542100684	1.54394331784973
YBR273C	-0.864992466279916	2.62669142352393	1.73245059529924
YIL124W	-0.813723444734784	-1.45644641517123	-3.32342839796026
YBR065C	-0.897311083911498	-1.23338700164056	1.80263953137571
YBL095W	-0.726565511639804	-1.77053020257832	-2.1772308149368
YPL187W	1.75059918088751	1.98369147128641	-2.6771201608604
YBR033W	-0.732910848555634	1.27365882211459	3.50602847419131
YIR004W	-1.00846631745129	2.96418894423342	2.22809495145951
YBR133C	-0.656104483133323	-1.57481535428481	1.91616706517955
YBR222C	-0.976871917933369	1.33504050486054	-2.33297919785745
YBL033C	-0.969571447691597	2.36246521980962	1.42108045198492
YGL185C	-0.609492681850548	-1.63594622889342	1.90628010585113
YIL129C	-0.721793169490503	-2.24055279860904	2.53488069541458
